iter	Logloss
0	0.6658738467
1	0.6357080269
2	0.6112750328
3	0.5840406922
4	0.5629533443
5	0.5431664275
6	0.523930977
7	0.5015415259
8	0.484638132
9	0.4643323566
10	0.446734643
11	0.4294310269
12	0.4171826387
13	0.4029394101
14	0.3898357832
15	0.3766090109
16	0.3657996669
17	0.3566135175
18	0.3459133439
19	0.3362960666
20	0.3278548209
21	0.3189810139
22	0.3111032385
23	0.3040102905
24	0.2965185236
25	0.2897684056
26	0.2837312403
27	0.2763823268
28	0.2694426236
29	0.2641822531
30	0.2597759866
31	0.2549794415
32	0.249762578
33	0.2443110397
34	0.2404676464
35	0.2366804657
36	0.2322976398
37	0.228812619
38	0.225630176
39	0.2222452182
40	0.2185883793
41	0.2158214323
42	0.2128133009
43	0.2102636348
44	0.2080737299
45	0.2052163051
46	0.2022522331
47	0.2002204552
48	0.1976269388
49	0.1957473606
50	0.1942597779
51	0.1919481759
52	0.1903495714
53	0.188606516
54	0.1873006503
55	0.1859685073
56	0.1846029502
57	0.183570384
58	0.1822071859
59	0.1806630771
60	0.1793356222
61	0.1780794894
62	0.1769912481
63	0.1762816248
64	0.1752397272
65	0.1740821943
66	0.1730719938
67	0.1718090229
68	0.1707899538
69	0.169843446
70	0.1689422966
71	0.1683108485
72	0.1676103327
73	0.1669252698
74	0.1662035828
75	0.1655137273
76	0.164658623
77	0.1638520422
78	0.1633651942
79	0.1627852408
80	0.1621263657
81	0.1615185374
82	0.1608551085
83	0.1605834065
84	0.1599373715
85	0.1594816234
86	0.1591418242
87	0.1588477267
88	0.158509764
89	0.1580191536
90	0.1577708474
91	0.1572791471
92	0.1569115924
93	0.1564185932
94	0.1560639682
95	0.1556641043
96	0.1552670025
97	0.1549094064
98	0.1544955379
99	0.1541016461
100	0.153795261
101	0.1534403821
102	0.153101643
103	0.1529092359
104	0.1526818621
105	0.1523951999
106	0.1521042676
107	0.1518160527
108	0.1515364974
109	0.1512188697
110	0.1509488399
111	0.1507295433
112	0.1505781797
113	0.1502968924
114	0.1501138467
115	0.1499475826
116	0.1497459337
117	0.1494754261
118	0.1491485118
119	0.1489449816
120	0.148687344
121	0.148595642
122	0.1483093083
123	0.1481510767
124	0.1479638953
125	0.1478271335
126	0.1476754564
127	0.1474816459
128	0.1472200517
129	0.1470828719
130	0.1468532286
131	0.1467478803
132	0.1465903952
133	0.1464353886
134	0.146246968
135	0.1460757022
136	0.1458682753
137	0.1457793055
138	0.1456132952
139	0.1454748911
140	0.1452740932
141	0.1450664423
142	0.144865958
143	0.1447652977
144	0.144546897
145	0.1443487567
146	0.1441838811
147	0.1440360859
148	0.1438986373
149	0.1437725955
150	0.143631295
151	0.1434795432
152	0.1433462602
153	0.1431184384
154	0.142983961
155	0.1428295218
156	0.1427485546
157	0.1426687819
158	0.1424926788
159	0.1423458689
160	0.142202284
161	0.1420266288
162	0.1418743096
163	0.1418012406
164	0.1416156567
165	0.1414946017
166	0.1413605274
167	0.1412257364
168	0.1410979926
169	0.141005977
170	0.1408247528
171	0.1406922163
172	0.1405506918
173	0.1404280691
174	0.1402923823
175	0.1401845854
176	0.1399734706
177	0.1398530128
178	0.1396732218
179	0.1395746369
180	0.1394774853
181	0.1393614469
182	0.1392707601
183	0.1391715332
184	0.1390504482
185	0.1389145077
186	0.138830644
187	0.1387192489
188	0.1386516743
189	0.1385428621
190	0.1384360655
191	0.1383581143
192	0.1382778638
193	0.1381810855
194	0.1380897417
195	0.1379414836
196	0.1378905115
197	0.1377840882
198	0.1376413095
199	0.1375722269
200	0.1374306725
201	0.1373676964
202	0.1372683501
203	0.1371997751
204	0.1371003093
205	0.1370293156
206	0.136948229
207	0.136851182
208	0.1366886803
209	0.1366265105
210	0.1365554421
211	0.1365020214
212	0.1364122604
213	0.1363030898
214	0.1362064011
215	0.1360914675
216	0.1360272671
217	0.135945852
218	0.1358488348
219	0.1357521908
220	0.1356430054
221	0.1355832244
222	0.1354522406
223	0.1353778279
224	0.1352517563
225	0.1351525294
226	0.1350485994
227	0.1349506714
228	0.1348516834
229	0.1347577567
230	0.1346448536
231	0.1345626622
232	0.1344622409
233	0.134336438
234	0.1342004675
235	0.134087878
236	0.13397923
237	0.1339090724
238	0.1337564248
239	0.1336979278
240	0.1335613751
241	0.1335037142
242	0.1334358111
243	0.1333391372
244	0.1332522278
245	0.1331878334
246	0.133130486
247	0.1330728848
248	0.1329724784
249	0.1328859423
250	0.1328006155
251	0.1327333992
252	0.1326775747
253	0.1325222844
254	0.1324134722
255	0.132288386
256	0.1322104198
257	0.1321466524
258	0.1319961996
259	0.1319413157
260	0.1318456123
261	0.1317439966
262	0.1316480991
263	0.1315922746
264	0.1315117405
265	0.1314003603
266	0.1313429383
267	0.131225795
268	0.131140513
269	0.1310802243
270	0.1310232353
271	0.1309424473
272	0.130878008
273	0.1308195708
274	0.1307112065
275	0.1306470658
276	0.1305543485
277	0.1304408781
278	0.1302940085
279	0.1302217308
280	0.1300985258
281	0.1299968503
282	0.129958569
283	0.129804279
284	0.1297045594
285	0.1296270262
286	0.1295171092
287	0.1294503707
288	0.1293762267
289	0.1292811802
290	0.1292298199
291	0.1291420147
292	0.129056464
293	0.129004596
294	0.1289480101
295	0.128864893
296	0.1287322819
297	0.1286440138
298	0.1285604936
299	0.1285028775
300	0.1284367511
301	0.1283820912
302	0.1283001536
303	0.1282343855
304	0.1281473119
305	0.1280374546
306	0.1279466185
307	0.1278921377
308	0.1278003461
309	0.1277098236
310	0.1276279756
311	0.1275121461
312	0.1274306713
313	0.1273363864
314	0.1272471478
315	0.1271680619
316	0.1270894538
317	0.1270364511
318	0.1269461675
319	0.1269009435
320	0.1268428347
321	0.1267656002
322	0.1266718377
323	0.1265825544
324	0.1264724582
325	0.1263873852
326	0.1263709022
327	0.1262857097
328	0.1261871398
329	0.1260923024
330	0.1259573621
331	0.1259304278
332	0.1258411445
333	0.1257513535
334	0.1256828831
335	0.1255870155
336	0.1255231883
337	0.1254954478
338	0.125431979
339	0.1253626874
340	0.1252986214
341	0.1252053815
342	0.125173998
343	0.1250673059
344	0.1250000747
345	0.1249610468
346	0.1249018331
347	0.1247635485
348	0.1246327887
349	0.124529889
350	0.1244817536
351	0.1243932242
352	0.1243605716
353	0.1242722065
354	0.1241923666
355	0.1241447165
356	0.1240813671
357	0.1240288199
358	0.1239353785
359	0.1238570689
360	0.123811845
361	0.1236793458
362	0.1235771254
363	0.1235292438
364	0.1234816758
365	0.1234178487
366	0.1233591949
367	0.1232832966
368	0.1232122731
369	0.1231330379
370	0.1230612678
371	0.1229307171
372	0.1228720857
373	0.1228113492
374	0.1227465516
375	0.1226990731
376	0.1226608963
377	0.1225780853
378	0.1225027991
379	0.1224435929
380	0.1223414471
381	0.1222952602
382	0.1221802445
383	0.122135446
384	0.1220457372
385	0.1219982364
386	0.1218759346
387	0.1218251641
388	0.1217472726
389	0.1216841024
390	0.1216424991
391	0.1215726625
392	0.1215042667
393	0.1214267111
394	0.1213354122
395	0.1213098142
396	0.1211958286
397	0.1211264399
398	0.1210349843
399	0.1209788089
400	0.1208756628
401	0.1208151502
402	0.120714908
403	0.1206501851
404	0.1205699047
405	0.1204948425
406	0.1204708868
407	0.120413853
408	0.1203351329
409	0.1202461556
410	0.1201655319
411	0.1201106032
412	0.1200078005
413	0.119951655
414	0.1199061773
415	0.1198725168
416	0.1198196784
417	0.1197252367
418	0.1196661275
419	0.1196414776
420	0.1195656689
421	0.119538757
422	0.1194629259
423	0.1193802865
424	0.119294049
425	0.1192478546
426	0.1191589968
427	0.1190795077
428	0.1189977567
429	0.1189270169
430	0.118815562
431	0.1187790873
432	0.1187185149
433	0.1186381898
434	0.1185403663
435	0.1184012307
436	0.1183010183
437	0.1182199915
438	0.1181762009
439	0.1180940169
440	0.1180023373
441	0.1179322543
442	0.1178813419
443	0.117836648
444	0.117766483
445	0.1176857547
446	0.1176006369
447	0.1175285832
448	0.1174707207
449	0.1173843563
450	0.1172860177
451	0.117212038
452	0.117147009
453	0.1171043978
454	0.117027641
455	0.1168799204
456	0.1167807756
457	0.1167288256
458	0.1166287626
459	0.116565137
460	0.1164697173
461	0.1164125416
462	0.1163006239
463	0.1162262112
464	0.1161699687
465	0.1160828652
466	0.115995381
467	0.1158645242
468	0.1158441741
469	0.1157654466
470	0.1156698328
471	0.1155873129
472	0.115500926
473	0.115400975
474	0.1153289287
475	0.1152466701
476	0.115151885
477	0.1151163881
478	0.1150456557
479	0.1149825677
480	0.1148351083
481	0.114738121
482	0.1146456127
483	0.1145857869
484	0.1144875006
485	0.1144597302
486	0.1143770908
487	0.1143223861
488	0.1142587979
489	0.1141478059
490	0.1140198381
491	0.113957504
492	0.113892042
493	0.1137597444
494	0.1137107804
495	0.1136253641
496	0.1135701816
497	0.1134990983
498	0.1134324942
499	0.1133298034
500	0.1132116598
501	0.1131468995
502	0.1130596243
503	0.1129754621
504	0.1128829837
505	0.1127947455
506	0.1127245431
507	0.1126862692
508	0.1126535046
509	0.1125535909
510	0.1124403145
511	0.1123517479
512	0.1122706464
513	0.1121893209
514	0.1121243889
515	0.1120412942
516	0.1119715323
517	0.1119167828
518	0.1118634293
519	0.1117907634
520	0.1117527284
521	0.1116943434
522	0.1116340996
523	0.1115563574
524	0.111506826
525	0.1114218053
526	0.1113851738
527	0.1113199581
528	0.1112731814
529	0.1112256209
530	0.1111619057
531	0.1111009527
532	0.1110073769
533	0.1109278655
534	0.1108813053
535	0.1108367457
536	0.1107395344
537	0.1106753489
538	0.1106043478
539	0.1105531741
540	0.1104712888
541	0.1103567433
542	0.1102566131
543	0.1102049169
544	0.1101647394
545	0.1100958359
546	0.1100328897
547	0.1099902935
548	0.109934469
549	0.1098748448
550	0.1097776185
551	0.1096863793
552	0.109650345
553	0.109599567
554	0.1095360011
555	0.1095081635
556	0.1094481287
557	0.109388497
558	0.1093306868
559	0.1092328559
560	0.1091927456
561	0.1091466482
562	0.1090337899
563	0.1089584291
564	0.1089027091
565	0.1088086556
566	0.1087445821
567	0.1086649437
568	0.1086195406
569	0.1085796319
570	0.1085407384
571	0.1084734101
572	0.1084262975
573	0.1083826039
574	0.1082974787
575	0.1082560022
576	0.108196587
577	0.1081398742
578	0.1081238763
579	0.108046485
580	0.1079672647
581	0.1078885297
582	0.1078264195
583	0.1077320674
584	0.1077075219
585	0.1076928902
586	0.1076669861
587	0.1076216576
588	0.1075315009
589	0.1074619629
590	0.1074269364
591	0.1073343087
592	0.1072714968
593	0.1071796604
594	0.1071161916
595	0.1070504982
596	0.106951107
597	0.1068898404
598	0.106850835
599	0.1067487116
600	0.1067239422
601	0.1066662215
602	0.1066097999
603	0.1065965492
604	0.106562635
605	0.1065295568
606	0.1064772709
607	0.1063897792
608	0.1063155381
609	0.1062445818
610	0.1061887648
611	0.1061446158
612	0.1060919342
613	0.1059948647
614	0.1059203698
615	0.1058559978
616	0.1058017484
617	0.1057428856
618	0.1057214681
619	0.1056754902
620	0.1056509298
621	0.1055986214
622	0.1055375489
623	0.1054446375
624	0.1053571906
625	0.1052828824
626	0.1052256844
627	0.1051373192
628	0.1050683113
629	0.1049958843
630	0.1049102664
631	0.1048758371
632	0.1048262385
633	0.1047446294
634	0.1046789136
635	0.1046155418
636	0.1045941168
637	0.104551864
638	0.1045249148
639	0.1044784441
640	0.1044065994
641	0.1043275434
642	0.1042387005
643	0.1041799273
644	0.1041223037
645	0.1040576629
646	0.1040054515
647	0.1039564726
648	0.1039117787
649	0.1038264818
650	0.1037519123
651	0.1036957145
652	0.1036631814
653	0.1035989213
654	0.1035076746
655	0.1034138749
656	0.1033725253
657	0.1033477783
658	0.1033076755
659	0.1032545534
660	0.103162284
661	0.1031149325
662	0.1030899765
663	0.1030627958
664	0.1030434834
665	0.1029887638
666	0.1028982413
667	0.1028436112
668	0.1028221713
669	0.1027266993
670	0.102662163
671	0.1026046514
672	0.1025601889
673	0.1025081194
674	0.1024872468
675	0.1023991057
676	0.1023083218
677	0.1022469731
678	0.1021718886
679	0.1021125779
680	0.1020693172
681	0.1020511321
682	0.1019829229
683	0.1019063901
684	0.1018282672
685	0.1017368488
686	0.101686571
687	0.1016426609
688	0.1016153907
689	0.1015867767
690	0.1015293248
691	0.1014682971
692	0.1013980201
693	0.1013528186
694	0.1012847662
695	0.1012500158
696	0.1011991408
697	0.1011790371
698	0.1011029298
699	0.1010529729
700	0.1010118996
701	0.1009958644
702	0.1009467138
703	0.1008763248
704	0.1007822936
705	0.1007438854
706	0.1006731604
707	0.1006327441
708	0.1005394445
709	0.1004871585
710	0.1004473095
711	0.1003613705
712	0.1002785072
713	0.1002381655
714	0.1001988838
715	0.100123523
716	0.1000671835
717	0.1000276554
718	0.09999647346
719	0.09994282881
720	0.09988253271
721	0.09984815564
722	0.09981480877
723	0.09974916014
724	0.09968920743
725	0.0996589586
726	0.09963954172
727	0.09960104388
728	0.09956534548
729	0.09954623467
730	0.09951277582
731	0.09946898518
732	0.09938510663
733	0.09933019291
734	0.09927298738
735	0.0992341984
736	0.09917812011
737	0.09914970025
738	0.09913511332
739	0.09910855228
740	0.09902334493
741	0.09898177145
742	0.09891645876
743	0.09883026601
744	0.09878796841
745	0.09876908901
746	0.09872914294
747	0.09864698884
748	0.09859712903
749	0.09854918777
750	0.09849157165
751	0.09841242602
752	0.09836178237
753	0.09831436366
754	0.09825658332
755	0.09824195907
756	0.09818644813
757	0.09811096789
758	0.09805721873
759	0.09798815106
760	0.09795881297
761	0.09789244769
762	0.09780125329
763	0.09778027618
764	0.097699212
765	0.09765611563
766	0.09760665894
767	0.09755399222
768	0.09753518002
769	0.09749092654
770	0.09741166147
771	0.09737914322
772	0.09735860657
773	0.09732864888
774	0.09729738478
775	0.09727717659
776	0.09719626918
777	0.09715746527
778	0.09711166651
779	0.09707299697
780	0.09704721977
781	0.09695831717
782	0.09688185899
783	0.09683143183
784	0.09676889617
785	0.09667353621
786	0.09662349723
787	0.0965930767
788	0.09656556012
789	0.09647414176
790	0.09639533952
791	0.09637599729
792	0.09635723734
793	0.09629974067
794	0.09622225976
795	0.09612931104
796	0.09611099154
797	0.09603642204
798	0.09594910205
799	0.09593010322
800	0.09591155976
801	0.09585285373
802	0.09582715865
803	0.09578406228
804	0.09571372553
805	0.09566167843
806	0.09563081745
807	0.09555460562
808	0.09553657726
809	0.09548966619
810	0.09543197542
